dataset,split_seed,model,n_test_loci,n_test_instances,best_C,acc,mcc,bal_acc,acc_lo,acc_hi,mcc_lo,mcc_hi,bal_lo,bal_hi,dmcc_vs_majority,dmcc_vs_majority_lo,dmcc_vs_majority_hi,dbal_vs_majority,dbal_vs_majority_lo,dbal_vs_majority_hi,dmcc_vs_ref_base,dmcc_vs_ref_base_lo,dmcc_vs_ref_base_hi,dbal_vs_ref_base,dbal_vs_ref_base_lo,dbal_vs_ref_base_hi
hotspot,43,LR_pm5,70,142099,0.1,0.748534472445267,0.4509074319685178,0.4079500014179265,0.5510043647463725,0.8343396933595097,0.30066386256616895,0.547504645233621,0.3305589477395619,0.46026814005627514,0.4509074319685178,0.30066386256616895,0.547504645233621,0.24128333475125982,0.16389228107289527,0.29360147338960846,0.018078302916225975,-0.09155537035981215,0.13413446532976706,0.07461666808459316,-0.002774385593771393,0.1269348067229418
hotspot,43,LR_pm10,70,142099,1.0,0.701989458053892,0.4184981926768608,0.4682380886103128,0.43828101772701994,0.8108160571235122,0.23541064954028618,0.5247672553047252,0.35881111650114517,0.5267933967437473,0.4184981926768608,0.23541064954028618,0.5247672553047252,0.30157142194364617,0.1921444498344785,0.3601267300770806,-0.014330936375431036,-0.1747492769320045,0.11711663185998433,0.13490475527697948,0.025477783167811845,0.1934600634104139
hotspot,44,majority,70,85211,,0.45394373965802537,0.0,0.16666666666666666,0.17479848285291208,0.6463207428470736,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.29905133156790054,-0.4050771193063238,-0.19434391422681196,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666
hotspot,44,ref_base,70,85211,,0.5204844444966026,0.29905133156790054,0.3333333333333333,0.25941945806729555,0.6834082181516685,0.19434391422681196,0.40507711930632373,0.3333333333333333,0.3333333333333333,0.29905133156790054,0.19434391422681196,0.40507711930632373,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
hotspot,44,LR_pm1,70,85211,0.1,0.5098168076891482,0.2546926865633687,0.33309929291149437,0.24149422459900782,0.6819871220060522,0.05431170766057141,0.4029299905859561,0.29013770595416166,0.3601943529314668,0.2546926865633687,0.05431170766057141,0.4029299905859561,0.1664326262448277,0.12347103928749498,0.19352768626480016,-0.04435864500453185,-0.18277335163022898,0.04786895244263206,-0.00023404042183894358,-0.04319562737917168,0.026861019598133494
hotspot,44,LR_pm2,70,85211,0.1,0.5048526598678574,0.2463531374006822,0.35744197744270106,0.2410020503425775,0.6744164685978612,0.05216394510307953,0.3911611647923631,0.295043837978607,0.3999598014057489,0.2463531374006822,0.05216394510307953,0.3911611647923631,0.1907753107760344,0.12837717131194037,0.23329313473908223,-0.052698194167218326,-0.1878412302654665,0.0401993034797505,0.02410864410936775,-0.0382894953547263,0.06662646807241558
hotspot,44,LR_pm5,70,85211,0.1,0.508279447489174,0.24804150958920537,0.3461300752306771,0.24195509321459402,0.6822661958282393,0.0501223955472302,0.39855402623134667,0.2787746478372196,0.3944120179366568,0.24804150958920537,0.0501223955472302,0.39855402623134667,0.17946340856401047,0.11210798117055294,0.22774535126999015,-0.05100982197869516,-0.18472447602977124,0.04602496278523371,0.01279674189734381,-0.05455868549611372,0.061078684603323496
hotspot,44,LR_pm10,70,85211,10.0,0.37699358064099703,0.14536019773433828,0.32280281355337875,0.23640630127861284,0.6146597005964431,-0.027354820359052085,0.4265808535066247,0.25225316564041883,0.42506391771089735,0.14536019773433828,-0.027354820359052085,0.4265808535066247,0.1561361468867121,0.08558649897375219,0.25839725104423067,-0.15369113383356225,-0.3459354004839223,0.21033150320912383,-0.010530519779954561,-0.08108016769291447,0.09173058437756405
hotspot,45,majority,70,91968,,0.5202461725817675,0.0,0.16666666666666666,0.22500458065533485,0.6937101588317325,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.33785751275665704,-0.4356059525719088,-0.237996350863953,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666
hotspot,45,ref_base,70,91968,,0.5893571677105081,0.33785751275665704,0.3333333333333333,0.3446332385909446,0.7379603093896971,0.237996350863953,0.4356059525719088,0.3333333333333333,0.3333333333333333,0.33785751275665704,0.237996350863953,0.4356059525719088,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
hotspot,45,LR_pm1,70,91968,0.1,0.5893571677105081,0.33785751275665704,0.3333333333333333,0.3446332385909446,0.7379603093896971,0.237996350863953,0.4356059525719088,0.3333333333333333,0.3333333333333333,0.33785751275665704,0.237996350863953,0.4356059525719088,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
hotspot,45,LR_pm2,70,91968,0.1,0.5832572199025748,0.31228536813928887,0.31202723149757977,0.33131708208748184,0.7368047902282869,0.187020679356577,0.414618681909333,0.2606735677586414,0.3544688453898762,0.31228536813928887,0.187020679356577,0.414618681909333,0.1453605648309131,0.09400690109197475,0.18780217872320956,-0.025572144617368175,-0.10301124307751422,0.03539258747168044,-0.021306101835753544,-0.0726597655746919,0.02113551205654292
hotspot,45,LR_pm5,70,91968,0.1,0.597098990953375,0.3411591907288606,0.3405919334623851,0.3541431425365895,0.7463360419709217,0.2250123133692367,0.44399577087631004,0.3004466561407655,0.3891595758958012,0.3411591907288606,0.2250123133692367,0.44399577087631004,0.17392526679571843,0.1337799894740988,0.2224929092291345,0.0033016779722035428,-0.054506950264476155,0.06287613957985617,0.007258600129051773,-0.032886677192567854,0.055826242562467855
hotspot,45,LR_pm10,70,91968,10.0,0.609027052887961,0.38689336938711083,0.36834375512036316,0.36471759275706606,0.7497794249230273,0.2298656767791458,0.4930550493345427,0.3140533934709056,0.42879700424414874,0.38689336938711083,0.2298656767791458,0.4930550493345427,0.2016770884536965,0.14738672680423895,0.2621303375774821,0.04903585663045379,-0.06478787364436621,0.15539468922323801,0.035010421787029844,-0.019279939862427698,0.09546367091081542
hotspot,46,majority,70,105185,,0.49623995816894045,0.0,0.16666666666666666,0.2810032368050224,0.6268690317009021,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.2960175906624169,-0.37479077797201604,-0.2012607242497189,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666
hotspot,46,ref_base,70,105185,,0.5531872415268336,0.2960175906624169,0.3333333333333333,0.37054720040243716,0.6674175117990465,0.20126072424971886,0.37479077797201604,0.3333333333333333,0.3333333333333333,0.2960175906624169,0.20126072424971886,0.37479077797201604,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
hotspot,46,LR_pm1,70,105185,0.1,0.5531872415268336,0.2960175906624169,0.3333333333333333,0.37054720040243716,0.6674175117990465,0.20126072424971886,0.37479077797201604,0.3333333333333333,0.3333333333333333,0.2960175906624169,0.20126072424971886,0.37479077797201604,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
hotspot,46,LR_pm2,70,105185,0.1,0.5277368446071208,0.2217339785001268,0.3345569881988763,0.32844920096530017,0.6510122483495769,0.07322566734721662,0.3417750504456715,0.29517198641429715,0.36436359697924126,0.2217339785001268,0.07322566734721662,0.3417750504456715,0.16789032153220965,0.12850531974763052,0.19769693031257463,-0.0742836121622901,-0.17388874868933368,0.006133617463757599,0.001223654865542989,-0.03816134691903615,0.03103026364590796
